,Con_Early_Pf,Con_Early_Pf,Con_Early_Pf,Fast_Early_Pf,Fast_Early_Pf,Fast_Early_Pf,Slow_Early_Pf,Slow_Early_Pf,Slow_Early_Pf
Dana\miR-8-RA,26479,8562,28386,38934,19741,20646,547,264,497
Dmel\mir-10-RA,8717,3726,14509,18358,11420,12127,1247,455,801
Dmel\bft-RA,2506,897,2462,3683,1592,2116,398,273,246
Dana\miR-276a-RB,3362,473,1871,2624,1330,1729,205,133,152
Dana\miR-184-RB,1092,219,836,813,770,922,197,140,129
Dana\miR-275-RA,1917,475,1968,2741,1306,1869,251,173,164
Dana\miR-31a-RA,1164,311,1241,1260,911,1138,87,49,36
aae.miR.263a.5p,1737,638,1931,3555,1380,1518,284,129,160
Dana\bantam-RA,1467,314,1237,1503,639,813,8,3,3
Dana\miR-10-RA,604,236,951,1107,740,742,77,32,56
Dana\miR-92b-RA,716,167,454,1167,125,124,135,87,110
Dmel\mir-33-RA,909,279,1039,1628,723,717,24,11,23
Dmel\mir-10-RB,957,366,1421,1571,871,790,56,39,61
ame.miR.317,1124,174,602,977,420,631,47,50,16
hme.miR.8,790,208,695,944,509,534,7,3,16
dvi.miR.8.5p,646,101,630,565,379,518,89,28,74
Dmel\mir-14-RA,500,118,678,676,409,328,15,10,39
Dana\miR-9a-RA,490,133,354,726,142,157,24,14,15
aga.miR.11,465,120,463,789,313,270,32,19,20
Dvir\miR-305-RA,529,112,396,714,303,323,2,0,1
aae.miR.305.5p,555,145,632,1014,453,584,12,11,11
Dana\miR-9c-RA,220,70,149,387,87,83,1,2,3
Dmel\mir-995-RB,268,65,203,381,105,122,27,12,14
Dana\miR-276b-RB,105,30,39,98,22,25,6,9,1
Dana\miR-277-RA,164,41,88,90,40,63,36,15,20
aae.bantam.3p,327,74,289,338,154,200,2,1,5
xtr.miR.22.3p,223,106,503,500,144,165,10,6,1
Dvir\miR-315a-RA,220,56,134,316,49,53,2,1,0
Dana\miR-11-RA,194,60,143,238,104,67,10,10,10
Dmel\mir-252-RA,228,44,152,100,139,176,32,13,30
Dvir\miR-283-RA,209,65,182,269,136,150,12,7,6
Dper\miR-31b-RA,119,6,63,15,47,96,4,11,4
hme.miR.277,79,18,35,65,23,34,9,4,18
aae.miR.2b,80,23,81,131,36,48,16,4,2
bfl.miR.184.3p,57,13,49,54,46,49,7,7,4
Dvir\mir-375-RB,133,27,70,169,72,68,6,2,1
bfl.miR.9.5p,69,17,58,102,35,20,0,1,10
Dmel\mir-999-RA,79,30,64,124,38,45,0,1,0
Dana\miR-14-RA,112,22,91,111,87,49,4,2,10
Dvir\miR-31b-RA,68,15,48,57,73,72,3,4,1
hme.miR.305,151,35,124,240,88,99,2,0,0
Dmel\mir-375-RA,85,23,83,140,90,68,3,3,3
Dana\let-7-RA,2,0,0,0,0,2,2,0,0
isc.miR.263a,95,12,64,172,42,70,6,5,3
Dana\miR-279-RA,86,23,59,110,65,39,0,0,0
Dana\miR-125-RA,0,1,1,2,0,0,0,0,0
Dmel\mir-190-RA,62,24,59,97,45,38,10,10,8
Dana\miR-316-RA,110,21,91,87,46,64,9,3,7
oan.miR.148.3p,47,29,112,106,32,41,0,2,0
Dana\miR-281-1-RA,110,26,105,195,62,116,0,0,0
api.miR.275,51,16,33,76,47,43,1,0,2
Dmel\mir-958-RA,73,27,112,106,123,72,2,0,0
aae.miR.276.3p,36,2,25,37,38,44,2,1,4
aae.miR.13.3p,46,10,64,51,37,27,8,1,2
Dmel\mir-996-RA,58,13,62,71,26,53,1,0,1
hme.let.7,0,0,2,0,0,0,0,0,0
cqu.bantam.3p,66,8,38,41,27,26,0,1,0
Dmel\mir-970-RA,34,6,22,44,22,12,0,0,4
dvi.miR.34.3p,25,12,27,24,8,17,0,2,0
Dana\miR-305-RA,44,15,28,55,32,61,0,1,0
ssc.miR.192,22,4,41,31,9,3,0,0,0
Dana\miR-286-RA,20,9,27,32,17,23,4,2,4
tch.miR.26a.5p,20,14,48,35,5,16,0,0,0
