Stage,bta.miR.191,bta.miR.21.5p,bta.miR.22.3p,bta.miR.2904,bta.miR.30a.5p
Feeding 3rd Instar,0.604357318,0,0.604357318,0,0.906535977
Feeding 3rd Instar,0.595398333,0,1.786195,0,0.992330556
Feeding 3rd Instar,0.431807019,0.431807019,0.431807019,0,0.863614037
Early Postfeeding,0.26994954,0.26994954,0.26994954,0.539899079,0
Early Postfeeding,1.836906609,0.367381322,1.836906609,0.367381322,1.102143965
Early Postfeeding,1.684030024,0.259081542,2.46127465,0.129540771,1.424948482
Late Postfeeding,0,0,0,0,0
Late Postfeeding,0,0,0,0,0
Late Postfeeding,0,0,3.654493652,0,0
Early Puparial,0,0,0,0,0
Early Puparial,0,0,0,0,0
Early Puparial,0,0,0,0,0
Mid Puparial 1,0,0,0,0,0
Mid Puparial 1,0,0,0,0,0
Mid Puparial 1,0,0,0,0,0
Mid Puparial 2,0,0,0,0,0
Mid Puparial 2,0,0,0,0,0
Mid Puparial 2,0,0,0,0,0
Late Puparial,0,0,0,0,0
Late Puparial,0,0,0,0,0
Late Puparial,0,0,0,0,0
