Stage,miR957,let7,miR184,miR277,miR92b,miR8,miR31a,miR276b,bantam,miR277o,miR317,miR305,miR10a,miR10,miR1,miR22
Early Puparial,5.196060882,2.957889448,3.654625643,5.90180415,4.184987296,10.61869076,9.078301519,13.11851412,7.09665107,3.50491377,2.218631168,1,4.366840548,3.407184441,2.551744805,0.987041664
Early Puparial,3.845184884,2.6836466,2.178606723,3.281624054,9.956000179,3.586890137,3.968673588,2.891145641,3.362986953,2.065011225,2.451764367,1.105079746,3.618630214,4.285847925,4.023897061,3.625951621
Early Puparial,0.664236404,0.891822443,0.408272331,0.917662321,0.770681212,0.896106404,1.011150715,1.020314058,1.013244218,1.463654923,1.427673986,0.643493162,4.627125046,4.484259958,1.134840984,0.607898149
Early Puparial,0.276594218,0.510762317,1.68502239,0.758081127,0.344436087,1.168703518,0.515293899,2.098709023,1.821350936,0.69969938,2.053730987,0.925674811,0.509329389,0.516967742,0.312273463,0.067514558
Early Puparial,NA,0.389255478,0.800193768,0.430832756,0.149208126,0.159216694,0.399568236,0.209867561,0.1689899,0.186184789,0.189234523,0.085293367,0.234339307,0.104977072,0.43253293,1.05800205
Early Puparial,0.489053236,1.404780207,0.459266696,0.328057218,0.842428267,0.536117585,0.600703683,0.423520207,0.530347152,0.407481684,0.589779352,0.265830283,0.627058032,0.668104724,0.543699678,0.291454468
Early Puparial,0.579578999,0.406912518,0.309132346,0.521701955,1.155809645,0.13462899,0.351399734,0.160976071,1.254824698,0.677260709,0.366488333,0.165186687,0.093424669,0.139266595,1.204074069,1.377806832
Early Puparial,0.508009245,1.718311204,1.32434545,1.341426526,1.348726455,2.551172635,1.750327839,1.151898688,0.470194864,2.120402844,0.831440411,0.374753778,1.014592327,2.758543815,0.993164951,8.295788841
Early Puparial,1.891918298,0.7233517,1.213435755,0.750378061,0.461425875,0.855105952,0.36083366,0.747075037,0.429369973,1.238293263,1.843666407,0.830992746,1.927846591,1.096345742,0.977221392,1.931572497
Mid Puparial 1,4.022985071,10.71066196,7.977430548,NA,3.272029801,7.834987783,2.542285865,12.66962578,1.059724046,7.014948617,9.308352064,4.195538312,10.24480803,6.607872761,6.292786156,1.452741735
Mid Puparial 1,1.835720591,14.0919256,31.43099487,NA,17.76091303,NA,32.59422749,37.83207441,0.712690308,1.035597674,0.338075213,0.152380088,6.776935757,12.15025566,0.371643688,2.099606336
Mid Puparial 1,0.211284576,4.309092445,1.698595677,1.063483429,1.15830307,1.490825699,1.27228436,1.968746089,0.868813393,0.056674677,0.061549151,0.027741948,0.85646813,0.108872399,0.102048276,0.319943685
Mid Puparial 1,0.533880192,1.988853095,0.389130532,0.441758407,0.196253349,0.463131689,0.232626191,0.598618084,0.056859623,0.056563931,0.031568656,0.014228889,1.079711283,0.027098333,0.128802891,0.05449079
Mid Puparial 1,0.912611721,1.211172982,0.096614653,0.257686388,0.306675366,0.106830607,0.067649191,0.165427595,0.092551536,0.167908956,0.078062537,0.035185,6.683018138,0.270055351,0.2073227,0.177391481
Mid Puparial 1,1.698025043,14.04500561,1.167574476,1.167801574,0.367517898,1.801909629,0.282743716,2.604790218,0.205281381,0.260514504,0.251070425,0.113164562,15.61238836,0.538275601,0.24314487,0.30329155
