Proportion,Dana\miR-8-RA,Dmel\bft-RA,Dana\miR-184-RB,Dmel\mir-33-RA,Dmel\mir-10-RB,Dana\miR-9a-RA,aae.miR.305.5p,Dvir\miR-315a-RA,Dmel\mir-375-RA,Dana\let-7-RA,Dana\miR-125-RA,aae.miR.276.3p,hme.let.7,Dmel\mir-957-RA,oha.miR.125b.5p,Dvir\miR-125-RA,mse.let.7a
0.53,3327.999834,788.5116525,249.4855446,120.1650559,74.38789174,231.174679,97.27647382,77.82117905,18.31086566,13.73314924,10.29986193,8.011003726,17.16643656,3.433287311,1.144429104,0,0
0.524,2819.299975,805.8610347,251.2247503,108.0145062,95.87804479,362.8801949,83.74158343,95.87804479,20.63198432,29.12750728,30.34115342,6.068230683,20.63198432,1.213646137,3.64093841,2.427292273,1.213646137
0.513,2592.784817,699.9943472,182.7323373,145.3225674,58.99232936,296.4004841,79.85547023,129.4953571,18.70488492,17.26604762,19.42430357,7.194186507,15.10779167,5.035930555,4.316511904,0.719418651,0.719418651
0.693,2229.595513,1030.817423,264.5654942,86.72478855,40.61793894,344.7035899,66.96471015,124.0493811,12.07560347,64.76914588,100.9959563,12.07560347,28.54233547,17.56451414,9.880039202,1.097782134,8.782257068
0.699,1704.756547,849.6579175,322.8156015,81.61068578,38.0849867,248.4591989,50.77998226,79.79711498,20.85606414,56.22069465,56.22069465,22.66963494,40.80534289,8.161068578,5.440712385,4.533926988,3.62714159
0.707,1869.345127,1172.872547,419.7916924,78.2339063,40.7070732,299.5786168,52.79198555,72.50947414,12.08491236,54.70012961,64.87689791,17.80934452,26.71401679,15.90120047,5.08838415,1.908144056,4.452336131
0.895,2183.28385,1965.148505,490.3219256,81.07685384,23.16481538,241.3001602,54.05123589,19.30401282,7.721605128,146.7104974,106.1720705,36.67762436,69.49444615,27.02561795,11.58240769,11.58240769,1.930401282
0.901,1929.639326,4282.92879,734.1334578,84.14968489,52.2308389,156.6925167,46.42741235,11.60685309,2.901713272,255.3507679,179.9062229,23.21370618,66.73940526,26.11541945,46.42741235,20.3119929,14.50856636
0.919,894.0477662,6697.949011,844.652862,64.21337547,44.45541379,138.3057318,44.45541379,0,0,380.3407624,311.1878965,24.69745211,380.3407624,9.878980842,49.39490421,29.63694253,14.81847126
1.03,2848.245745,643.308588,500.351124,56.94068481,32.71060617,75.1132438,19.38406292,10.90353539,8.480527526,112.6698657,111.4583618,33.9221101,15.74955112,42.40263763,16.96105505,18.17255898,8.480527526
0.995,3194.271406,1394.758919,415.6928542,38.28749973,32.81785691,114.8624992,43.75714255,0,5.469642819,175.0285702,207.8464271,27.34821409,16.40892846,92.98392792,21.87857128,32.81785691,5.469642819
1.022,3768.063676,515.2250333,238.387702,99.96903631,53.82948109,64.08271559,28.19639486,5.126617247,5.126617247,117.9121967,76.8992587,38.44962935,12.81654312,35.88632073,5.126617247,10.25323449,15.37985174
