,Con_Early_Pf_1,Con_Early_Pf_2,Con_Early_Pf_3,Con_Mid_Pup_2_1,Con_Mid_Pup_2_2,Con_Mid_Pup_2_3,Early_PF_1,Early_PF_2,Early_PF_3,Early_Pup_1,Early_Pup_2,Early_Pup_3,Fast_Early_Pf_1,Fast_Early_Pf_2,Fast_Early_Pf_3,Fast_Mid_Pup_2_1,Fast_Mid_Pup_2_2,Fast_Mid_Pup_2_3,Feed_3rd_1,Feed_3rd_2,Feed_3rd_3,Late_PF_1,Late_PF_2,Late_PF_3,Late_Pup_1,Late_Pup_2,Late_Pup_3,Mid_Pup_1_1,Mid_Pup_1_2,Mid_Pup_1_3,Mid_Pup_2_1,Mid_Pup_2_2,Mid_Pup_2_3,Slow_Early_Pf_1,Slow_Early_Pf_2,Slow_Early_Pf_3,Slow_Mid_Pup_2_1,Slow_Mid_Pup_2_2,Slow_Mid_Pup_2_3
>FBtr0290482,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,1,0,3,1,1,10,6,10,1,3,1,0,0,0,4,9,12
>FBtr0290484,2,0,0,9,1,1,0,2,14,4,8,13,0,0,2,0,0,0,1,1,1,0,6,1,46,19,24,32,31,33,29,41,41,1,0,0,79,144,166
>FBtr0290486,0,0,0,3,0,2,0,0,2,3,10,11,2,0,0,0,1,0,0,0,0,0,3,1,51,20,14,52,34,40,25,29,38,0,0,0,50,148,107
>FBtr0290492,16,4,28,4,2,0,8,3,43,0,1,0,6,15,7,15,0,17,16,11,5,0,0,1,3,1,0,0,2,1,0,0,0,0,0,0,0,0,0
>FBtr0290498,8,1,1,17,11,4,8,3,14,2,1,2,14,5,1,4,1,3,5,7,1,0,2,1,3,3,3,5,2,2,3,7,0,0,0,0,3,14,7
>FBtr0290506,908,245,932,1027,453,474,563,492,1185,420,250,493,1279,627,884,2153,245,721,513,665,326,160,313,72,71,43,25,462,412,682,240,176,350,107,95,73,479,1617,902
>FBtr0290508,20,8,12,8,0,7,5,19,31,2,4,4,25,14,31,29,0,23,27,25,12,2,12,0,0,0,0,2,3,2,2,1,0,0,1,0,0,1,2
>FBtr0290510,5,1,2,11,4,3,8,4,18,1,1,4,4,6,2,16,0,8,3,4,6,2,3,2,1,0,0,10,9,11,4,1,2,1,0,1,1,4,4
>FBtr0290516,109,35,77,101,24,9,131,62,323,39,76,101,197,42,42,113,7,85,108,156,80,12,37,13,39,4,15,138,152,188,65,36,5,1,0,2,18,54,31
>FBtr0290526,3,0,1,4,5,0,7,5,4,1,1,0,5,6,4,1,0,0,10,6,14,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0
>FBtr0290528,6,0,5,6,7,3,4,2,13,2,1,4,7,4,3,12,1,10,1,3,2,1,1,0,0,0,1,1,0,2,1,1,2,2,0,0,0,4,5
>FBtr0290530,62,13,46,46,15,13,44,27,136,13,5,12,56,44,21,111,6,35,31,63,30,10,13,6,24,2,6,9,5,5,6,0,0,1,1,3,0,2,0
>FBtr0290534,54,12,44,11,7,1,24,18,46,1,1,3,94,29,54,33,8,37,34,42,16,2,10,0,2,0,0,1,1,3,0,0,0,0,0,0,0,0,0
